"Story","Title","Result","Date","Stability","Duration (s)"
"Create user","Create user","SUCCESS","2023-04-26T17:11:58.8887793-05:00[America/Bogota]","0.0","2.97"
"Place an order for a pet","Place an order for a pet successfully","SUCCESS","2023-04-26T17:12:02.7702599-05:00[America/Bogota]","0.0","0.58"
